      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2015-08-26 07:47:15,  46240,     240.03,         135,       0.02,      192.64,        0.56,        3.29,   46240,       0
2015-08-26 07:52:15,  46612,     240.03,         136,       0.02,      194.19,        0.57,        3.33,   46612,       0
2015-08-26 07:57:15,  46436,     240.04,         136,       0.02,      193.45,        0.57,        3.17,   46436,       0
2015-08-26 08:02:15,  46468,     240.03,         136,       0.02,      193.59,        0.57,        3.26,   46468,       0
2015-08-26 08:07:15,  46351,     240.04,         136,       0.02,      193.10,        0.57,        3.32,   46351,       0
2015-08-26 08:12:15,  46663,     240.03,         136,       0.01,      194.40,        0.57,        2.91,   46663,       0
2015-08-26 08:17:15,  46524,     240.03,         136,       0.01,      193.83,        0.57,        2.89,   46524,       0
2015-08-26 08:22:15,  46723,     240.02,         137,       0.02,      194.66,        0.57,        3.02,   46723,       0
2015-08-26 08:27:15,  46178,     240.03,         135,       0.02,      192.38,        0.56,        3.43,   46178,       0
2015-08-26 08:32:15,  46451,     240.03,         136,       0.02,      193.52,        0.57,        3.14,   46451,       0
2015-08-26 08:37:15,  46326,     240.03,         135,       0.02,      193.00,        0.56,        3.23,   46326,       0
2015-08-26 08:42:15,  45973,     240.03,         134,       0.02,      191.53,        0.56,        3.11,   45973,       0
2015-08-26 08:47:15,  46046,     240.03,         135,       0.02,      191.83,        0.56,        3.46,   46046,       0
2015-08-26 08:52:15,  46342,     240.03,         136,       0.02,      193.07,        0.57,        3.31,   46342,       0
2015-08-26 08:57:15,  46304,     240.03,         135,       0.02,      192.91,        0.56,        3.05,   46304,       0
2015-08-26 09:02:15,  46278,     240.03,         135,       0.02,      192.80,        0.56,        3.47,   46278,       0
2015-08-26 09:07:15,  46401,     240.02,         136,       0.02,      193.32,        0.57,        3.45,   46401,       0
2015-08-26 09:12:16,  46314,     240.02,         135,       0.02,      192.96,        0.56,        3.52,   46314,       0
2015-08-26 09:17:16,  46368,     240.04,         136,       0.02,      193.17,        0.57,        3.42,   46368,       0
2015-08-26 09:22:16,  46143,     240.02,         135,       0.02,      192.25,        0.56,        3.01,   46143,       0
2015-08-26 09:27:16,  46527,     240.03,         136,       0.02,      193.84,        0.57,        3.43,   46527,       0
2015-08-26 09:32:16,  46232,     240.04,         135,       0.02,      192.60,        0.56,        3.39,   46232,       0
2015-08-26 09:37:16,  46493,     240.03,         136,       0.02,      193.70,        0.57,        3.45,   46493,       0
2015-08-26 09:42:16,  46598,     240.03,         136,       0.02,      194.13,        0.57,        3.34,   46598,       0
2015-08-26 09:47:16,  46184,     240.03,         135,       0.02,      192.41,        0.56,        3.04,   46184,       0
2015-08-26 09:52:16,  46335,     240.03,         136,       0.02,      193.04,        0.57,        3.45,   46335,       1
2015-08-26 09:57:16,  45982,     240.03,         134,       0.02,      191.57,        0.56,        3.61,   45982,       0
2015-08-26 10:02:16,  46645,     240.03,         136,       0.02,      194.33,        0.57,        3.01,   46645,       0
2015-08-26 10:07:16,  46759,     240.03,         137,       0.02,      194.80,        0.57,        3.17,   46759,       0
2015-08-26 10:12:16,  46044,     240.03,         135,       0.02,      191.83,        0.56,        3.44,   46044,       0
2015-08-26 10:17:15,  38559,     240.03,         113,       0.12,      160.64,        0.47,       19.27,   38559,       2
2015-08-26 10:22:46,  38292,     240.03,         112,       0.12,      159.53,        0.47,       19.84,   38292,       0
2015-08-26 10:28:16,  38780,     240.03,         113,       0.12,      161.56,        0.47,       19.31,   38780,       0
2015-08-26 10:33:46,  39098,     240.03,         114,       0.11,      162.89,        0.47,       18.54,   39098,       0
2015-08-26 10:39:16,  38420,     240.03,         112,       0.12,      160.06,        0.47,       19.91,   38420,       2
2015-08-26 10:44:46,  38939,     240.03,         114,       0.12,      162.23,        0.47,       18.94,   38939,       0
2015-08-26 10:50:16,  38700,     240.03,         113,       0.12,      161.23,        0.47,       19.37,   38700,       0
2015-08-26 10:55:46,  38301,     240.03,         112,       0.12,      159.57,        0.47,       19.21,   38301,       0
2015-08-26 11:01:16,  38496,     240.03,         113,       0.12,      160.38,        0.47,       19.97,   38496,       0
2015-08-26 11:06:46,  38610,     240.02,         113,       0.12,      160.86,        0.47,       19.29,   38610,       0
2015-08-26 11:12:16,  39246,     240.03,         115,       0.12,      163.50,        0.48,       18.88,   39246,       0
2015-08-26 11:17:46,  38637,     240.03,         113,       0.13,      160.97,        0.47,       20.45,   38637,       0
2015-08-26 11:23:16,  38912,     240.03,         114,       0.12,      162.11,        0.47,       19.10,   38912,       0
2015-08-26 11:28:46,  38553,     240.03,         113,       0.12,      160.62,        0.47,       19.49,   38553,       0
2015-08-26 11:34:16,  38337,     240.03,         112,       0.13,      159.72,        0.47,       20.42,   38337,       0
2015-08-26 11:39:46,  38942,     240.03,         114,       0.11,      162.24,        0.47,       18.61,   38942,       0
2015-08-26 11:45:16,  38355,     240.03,         112,       0.13,      159.79,        0.47,       20.00,   38355,       1
2015-08-26 11:50:46,  38679,     240.03,         113,       0.12,      161.14,        0.47,       19.07,   38679,       0
2015-08-26 11:56:16,  38604,     240.04,         113,       0.12,      160.82,        0.47,       19.68,   38604,       0
2015-08-26 12:01:46,  38348,     240.03,         112,       0.12,      159.76,        0.47,       19.27,   38348,       6
2015-08-26 12:07:16,  38750,     240.04,         113,       0.12,      161.43,        0.47,       18.91,   38750,       0
2015-08-26 12:12:46,  38423,     240.03,         112,       0.13,      160.08,        0.47,       20.06,   38423,       0
2015-08-26 12:18:16,  38395,     240.03,         112,       0.13,      159.96,        0.47,       20.29,   38395,       0
2015-08-26 12:23:46,  39234,     240.03,         115,       0.11,      163.45,        0.48,       18.51,   39234,       1
2015-08-26 12:29:16,  38279,     240.04,         112,       0.12,      159.47,        0.47,       19.43,   38279,       4
2015-08-26 12:34:46,  38410,     240.03,         112,       0.13,      160.02,        0.47,       20.17,   38410,       0
2015-08-26 12:40:16,  38764,     240.03,         113,       0.12,      161.50,        0.47,       19.24,   38764,       0
2015-08-26 12:45:46,  38811,     240.04,         113,       0.12,      161.69,        0.47,       18.97,   38811,       0
2015-08-26 12:51:16,  38575,     240.03,         113,       0.12,      160.71,        0.47,       19.43,   38575,       0
2015-08-26 12:56:46,  38911,     240.03,         114,       0.12,      162.11,        0.47,       19.03,   38911,       0
